x,y,alt,utm_epsg
583823.2566080706,6148442.623048548,50.0,32632
583823.3044593001,6148442.434721345,50.0,32632
583823.4338399322,6148442.281344373,50.0,32632
583823.4294295574,6148442.181074458,50.0,32632
583823.4898752212,6148442.326940126,50.0,32632
583823.4310809071,6148442.426004573,50.0,32632
583823.4413872844,6148442.548650449,50.0,32632
583823.3714376652,6148442.56957985,50.0,32632
583823.4106338723,6148442.503536886,50.0,32632
583823.3834884132,6148442.269252292,50.0,32632
583823.5130812855,6148442.104747614,50.0,32632
583823.5395900402,6148442.372415333,50.0,32632
583823.4011764242,6148442.336380178,50.0,32632
583823.4273072307,6148442.292351535,50.0,32632
583823.5094733264,6148442.293918644,50.0,32632
583823.9095264245,6148442.535315527,50.0,32632
583825.09301202,6148443.470691747,50.0,32632
583828.0411584483,6148446.031567309,50.0,32632
583828.5932796514,6148446.587554279,50.0,32632
583828.6412963994,6148446.722051204,50.0,32632
583827.7735765376,6148446.137781144,50.0,32632
583823.0107929767,6148442.251012339,50.0,32632
583820.1083237029,6148439.947041824,50.0,32632
583816.5599815368,6148437.029641158,50.0,32632
583816.0263946031,6148436.496272756,50.0,32632
583815.8529829493,6148436.637678484,50.0,32632
583814.3183176945,6148438.53420518,50.0,32632
583811.2991304294,6148442.350479808,50.0,32632
583808.9472496966,6148445.65628887,50.0,32632
583805.8903160234,6148449.794668068,50.0,32632
583805.1481407464,6148450.915954887,50.0,32632
583804.0635552874,6148452.420324092,50.0,32632
583803.911819322,6148452.751383402,50.0,32632
583803.8966322069,6148452.884674862,50.0,32632
583804.1293829755,6148453.278724377,50.0,32632
583809.799798335,6148458.641040483,50.0,32632
583809.9476694249,6148458.844231891,50.0,32632
583809.9394391824,6148458.944260738,50.0,32632
583809.6140801894,6148459.427853528,50.0,32632
583808.6355027244,6148460.678212764,50.0,32632
583798.9046096948,6148472.626275111,50.0,32632
583795.709714816,6148476.706371487,50.0,32632
583795.363487906,6148477.289753176,50.0,32632
583795.4203271588,6148477.624789512,50.0,32632
583795.7895804545,6148478.155022265,50.0,32632
583801.6117841715,6148484.176996226,50.0,32632
583804.3245299141,6148487.145242807,50.0,32632
583805.3141511873,6148488.29955241,50.0,32632
583806.1725288617,6148489.373437303,50.0,32632
583807.1265154332,6148490.73857118,50.0,32632
583807.3594759493,6148491.121493199,50.0,32632
583808.0441855484,6148492.681864028,50.0,32632
583808.2954704682,6148493.098530799,50.0,32632
583808.4094497883,6148493.089572555,50.0,32632
583808.5824346573,6148492.9704219615,50.0,32632
583809.6502940862,6148492.011191062,50.0,32632
583812.3328893696,6148488.93432471,50.0,32632
583819.4051385449,6148480.464352512,50.0,32632
583822.8107495134,6148476.276974108,50.0,32632
583826.2703261324,6148471.912519393,50.0,32632
583827.9756842349,6148469.685299996,50.0,32632
583833.2087678126,6148462.504948421,50.0,32632
583835.074101836,6148459.846644617,50.0,32632
583837.7157700936,6148455.934130417,50.0,32632
583838.1528255455,6148455.23003519,50.0,32632
583838.4942252737,6148454.568642303,50.0,32632
583838.5775002072,6148454.180619369,50.0,32632
583838.5543411173,6148454.06886002,50.0,32632
583838.5250738454,6148453.945852395,50.0,32632
583838.2737893284,6148453.529183911,50.0,32632
583837.2209636954,6148452.3736612685,50.0,32632
583836.1649535185,6148451.385054494,50.0,32632
583833.1991275706,6148448.757045462,50.0,32632
583825.0112913477,6148441.788238019,50.0,32632
583823.9879393805,6148440.74459844,50.0,32632
583823.8817647732,6148440.675782886,50.0,32632
583823.8183478272,6148440.685705119,50.0,32632
583823.5107205522,6148440.902473007,50.0,32632
583821.3354710493,6148443.566002707,50.0,32632
583814.4099721778,6148452.294802024,50.0,32632
583809.1028517786,6148458.716804182,50.0,32632
583803.9221553288,6148465.141223048,50.0,32632
583801.5313530868,6148468.167999677,50.0,32632
583801.3164134924,6148468.497853921,50.0,32632
583801.5257914868,6148468.791271872,50.0,32632
583802.3220757211,6148469.474360469,50.0,32632
583804.4777077086,6148471.48578477,50.0,32632
583809.8015360906,6148476.785834095,50.0,32632
583810.6561410908,6148477.726066807,50.0,32632
583811.3603289545,6148478.596640716,50.0,32632
583811.642367691,6148479.058421152,50.0,32632
583811.8538207689,6148479.57451431,50.0,32632
583811.9349251344,6148479.631719751,50.0,32632
583812.9994389259,6148478.516581198,50.0,32632
583815.2505120295,6148475.8544938695,50.0,32632
583819.6144657575,6148470.483159873,50.0,32632
583824.8943965842,6148464.160837464,50.0,32632
583829.0383841905,6148459.052479026,50.0,32632
583831.9737125128,6148455.323670847,50.0,32632
583833.2652312053,6148453.57835683,50.0,32632
583833.9420862213,6148452.5671461485,50.0,32632
583834.1064653911,6148452.236328978,50.0,32632
583834.1427373958,6148451.992122227,50.0,32632
583833.8217150781,6148451.585255524,50.0,32632
583833.4305309048,6148451.210445796,50.0,32632
583830.3816882699,6148448.625382212,50.0,32632
583825.2763778337,6148444.464915303,50.0,32632
583823.4691229195,6148443.083503696,50.0,32632
583822.8756821136,6148442.704837429,50.0,32632
583821.7294356008,6148442.137519976,50.0,32632
583820.6162304296,6148441.82686336,50.0,32632
583820.0674106992,6148441.760737632,50.0,32632
583819.5295341114,6148441.783874719,50.0,32632
583818.482624444,6148441.975411985,50.0,32632
583817.450007495,6148442.412120686,50.0,32632
583816.9323196934,6148442.702805227,50.0,32632
583816.4139953161,6148443.026872952,50.0,32632
583815.3493061648,6148443.819186645,50.0,32632
583813.6825961577,6148445.345847426,50.0,32632
583811.9284161939,6148447.149134634,50.0,32632
583809.6731328066,6148449.699826063,50.0,32632
583807.9894967919,6148451.782753853,50.0,32632
583805.7067690912,6148454.778194044,50.0,32632
583801.9287545814,6148459.926947289,50.0,32632
583800.9533172377,6148461.34434436,50.0,32632
583799.5585202354,6148463.532968402,50.0,32632
583798.2374480946,6148465.834316099,50.0,32632
583797.009062085,6148468.248748912,50.0,32632
583795.1764075989,6148472.510663792,50.0,32632
583793.5181823072,6148476.909486056,50.0,32632
583792.9023341864,6148478.701088547,50.0,32632
583792.0459658604,6148481.501095058,50.0,32632
583791.5348078478,6148483.439406499,50.0,32632
583791.0794731365,6148485.4344410505,50.0,32632
583790.5647889427,6148488.552651275,50.0,32632
583790.4365511596,6148489.641118271,50.0,32632
583790.2799291878,6148491.886746529,50.0,32632
583790.3175423131,6148494.225131963,50.0,32632
583790.4395745436,6148495.451951481,50.0,32632
583790.6302823687,6148496.724607344,50.0,32632
583791.206144533,6148499.351548607,50.0,32632
583791.8879673427,6148502.0584324645,50.0,32632
583792.6458459406,6148504.755634775,50.0,32632
583793.2609008455,6148507.31653312,50.0,32632
583793.5900976101,6148509.615951021,50.0,32632
583793.8616301639,6148514.608154133,50.0,32632
583793.9127850393,6148514.909686836,50.0,32632
583794.0968797073,6148515.202622447,50.0,32632
583794.2418237438,6148515.227649499,50.0,32632
583794.4263872762,6148515.164377914,50.0,32632
583794.9773643621,6148514.785271641,50.0,32632
583795.7885820118,6148514.02151592,50.0,32632
583796.9047074789,6148512.851699044,50.0,32632
583803.5547741822,6148505.297588958,50.0,32632
583811.0060382163,6148496.51201051,50.0,32632
583816.6325801407,6148489.584042437,50.0,32632
583821.1550039304,6148483.859516209,50.0,32632
583823.2038262909,6148481.193575507,50.0,32632
583824.8402915699,6148478.931645771,50.0,32632
583826.1229804029,6148476.985789841,50.0,32632
583827.0266103698,6148475.355525201,50.0,32632
583827.3568518518,6148474.615996399,50.0,32632
583827.5981830191,6148473.897035292,50.0,32632
583827.7379629754,6148473.198400756,50.0,32632
583827.782936588,6148472.497957923,50.0,32632
583827.7141425322,6148471.795345127,50.0,32632
583827.5320052432,6148471.068306961,50.0,32632
583827.2742349897,6148470.32869446,50.0,32632
583826.580873174,6148468.89060489,50.0,32632
583824.4703161127,6148465.510823246,50.0,32632
583824.1036119051,6148464.847055576,50.0,32632
583823.5094650253,6148463.51104466,50.0,32632
583823.269169281,6148462.849688009,50.0,32632
583822.9166842495,6148461.440364014,50.0,32632
583822.7097814018,6148460.022684902,50.0,32632
583822.6101137401,6148458.618182789,50.0,32632
583822.6324183567,6148455.791142264,50.0,32632
583822.8626814759,6148451.342831707,50.0,32632
583823.245531387,6148446.51895169,50.0,32632
583823.3411814274,6148443.492938489,50.0,32632
583823.4324269941,6148443.349965946,50.0,32632
583823.4250453629,6148443.405483936,50.0,32632
583823.488462269,6148443.395561697,50.0,32632
583823.8291773489,6148443.101502593,50.0,32632
583825.9281117802,6148440.7927347,50.0,32632
583826.2941091082,6148440.499157986,50.0,32632
583826.4131368666,6148440.557086993,50.0,32632
583826.3529035115,6148440.400093576,50.0,32632
583826.2875763967,6148440.510165142,50.0,32632
583826.1535730581,6148440.57439982,50.0,32632
583826.1455546711,6148440.66330093,50.0,32632
